des,orbit_id,jd,cd,dist,dist_min,dist_max,v_rel,v_inf,t_sigma_f,h
2024 FN2,1,2460391.365277029,2024-Mar-21 20:46,0.0253863678313265,0.0252137385171248,0.0255589876223238,6.90590414709988,6.89068921845964,00:05,25.82
2024 FD5,1,2460392.059833498,2024-Mar-22 13:26,0.0166768057589497,0.0165606474140018,0.0167929626186263,17.9190162397921,17.9100977069919,00:09,25.83
2024 FS5,2,2460392.172651652,2024-Mar-22 16:09,0.0389801451310383,0.038665171601941,0.0392951176039228,25.026857139249,25.0241257330519,00:03,24.75
2024 FK1,6,2460392.230299233,2024-Mar-22 17:32,0.00687565331845753,0.00686879292592636,0.00688251351994627,7.50602018592765,7.45421299808953,< 00:01,26.14
2024 EU4,5,2460393.036935059,2024-Mar-23 12:53,0.0484268833304699,0.0484101687360821,0.0484435979244283,28.3000057690752,28.2980615095652,< 00:01,22.11
2024 EL4,5,2460393.362837574,2024-Mar-23 20:42,0.0377361433799401,0.0377075482157886,0.0377647385004827,11.8014863342645,11.7955018288472,< 00:01,24.84
2024 EC4,2,2460394.157948177,2024-Mar-24 15:47,0.0497933786446263,0.0492477024302257,0.0503389760925063,4.03409181125836,4.02080530613845,00:10,25.72
2019 CJ,17,2460394.449480582,2024-Mar-24 22:47,0.0319132090430836,0.0319130814370313,0.0319133366492048,4.35906571491349,4.33986993520581,< 00:01,25.33
2024 FH4,1,2460394.595965421,2024-Mar-25 02:18,0.0384328087981196,0.0382515284530093,0.0386140877847738,13.1864271291969,13.1811685345276,< 00:01,25.84
2021 CF6,25,2460394.796045419,2024-Mar-25 07:06,0.0372877818422407,0.0372875139880308,0.0372880496966478,8.29781914022332,8.28920310677409,< 00:01,23.79
2024 GD,9,2460395.583474243,2024-Mar-26 02:00,0.00212164137308537,0.00212002209562203,0.00212326065203935,11.4570013624973,11.3468570590716,00:05,24.95
2024 FO3,1,2460396.025210691,2024-Mar-26 12:36,0.000912772062884218,0.000911624771232627,0.000913919326696452,10.4362850296737,10.1527253078607,< 00:01,27.77
2024 FA3,7,2460396.103385635,2024-Mar-26 14:29,0.0238656323680302,0.0237977342360962,0.0239335285418228,6.63198552481017,6.61512977447994,< 00:01,26.17
2024 ES5,2,2460396.624913639,2024-Mar-27 03:00,0.00479359713559435,0.00478661386552121,0.004800580183809,10.1026339528137,10.0474638667388,< 00:01,25.42
2024 EA3,13,2460396.844446422,2024-Mar-27 08:16,0.0209927503689757,0.020972202308169,0.0210132983410176,10.7614187125946,10.7496179065782,< 00:01,24.39
2024 GP,7,2460397.056658582,2024-Mar-27 13:22,0.0412980429113943,0.041206532647014,0.0413895528518635,12.3056816477178,12.3004375622935,< 00:01,23.34
2024 GL1,7,2460397.259934750,2024-Mar-27 18:14,0.0369178718063532,0.0368605360797506,0.036975206589384,5.11414842583376,5.10001645179054,< 00:01,25.48
2024 EO4,6,2460397.263943891,2024-Mar-27 18:20,0.0336309967694114,0.03312343145033,0.034138551262376,14.9475357816995,14.9422345103344,00:02,24.78
2024 EO3,9,2460397.782291546,2024-Mar-28 06:46,0.0257314994811097,0.0256628068688533,0.0258001915116359,11.4341502743588,11.4250905401937,< 00:01,24.80
2024 FN1,2,2460397.899388744,2024-Mar-28 09:35,0.0410573535673942,0.0408937640174883,0.0412209392726178,6.59661103799625,6.5867658337015,< 00:01,26.1
2024 FK5,1,2460398.074053669,2024-Mar-28 13:47,0.0107251929140421,0.0107070518734828,0.0107433335997574,9.28616677258023,9.25937523062842,< 00:01,27.27
2024 ES4,1,2460398.275192716,2024-Mar-28 18:36,0.0454524614058645,0.0454331464354976,0.0454717763066245,5.13158511488039,5.12014876003877,< 00:01,25.82
2024 FB1,4,2460398.615587139,2024-Mar-29 02:46,0.0194390108950631,0.0193517137488462,0.0195263068018772,13.1727070480866,13.1622974300818,< 00:01,25.23
2024 JA7,2,2460398.649622932,2024-Mar-29 03:35,0.0472102809245833,0.0466667316830397,0.0477537453195893,4.32843732628501,4.31537861689613,03:00,25.76
2024 GH,2,2460398.800962694,2024-Mar-29 07:13,0.0366200516062371,0.0364960703238601,0.0367440315704311,9.67567753834785,9.66815471466496,< 00:01,26.17
2024 FK,5,2460399.237712458,2024-Mar-29 17:42,0.00802841355880238,0.00799593031908669,0.00806089632482888,19.1498065557293,19.1324679215373,< 00:01,25.11
2024 ED4,3,2460399.335358466,2024-Mar-29 20:03,0.0371993260710474,0.0368311941750585,0.0375674408118685,7.80614632717101,7.79696519862963,00:02,26.38
2023 RO49,29,2460399.378441779,2024-Mar-29 21:05,0.0362215780456083,0.0362207398013997,0.0362224162899076,4.29460361967459,4.27744072345321,< 00:01,24.41
2015 MB54,37,2460399.582499886,2024-Mar-30 01:59,0.0298463216997708,0.0298461967284281,0.0298464466711169,3.83281244884104,3.80944939428478,< 00:01,23.99
2024 DQ,11,2460400.208121453,2024-Mar-30 17:00,0.016448720080613,0.0163984745746157,0.0164989538530542,2.87627810894431,2.81939739961525,00:01,24.87
2024 GZ1,1,2460400.815799687,2024-Mar-31 07:35,0.025866759699042,0.0254895720624495,0.0262439325832874,12.1014003919557,12.0928853357548,00:01,26.88
2024 GL,6,2460401.097802828,2024-Mar-31 14:21,0.0121712279605829,0.0121343864739075,0.0122080691090323,16.966457548728,16.9535497549343,< 00:01,24.91
2024 FQ5,1,2460401.147020030,2024-Mar-31 15:32,0.000218031885507783,0.000217708810545566,0.000218355012333092,8.58035950176025,7.01294370936667,< 00:01,30.98
2024 GY3,6,2460401.721440488,2024-Apr-01 05:19,0.0349008035422671,0.0348920560146452,0.0349095510699188,29.1996177423158,29.1970030583142,< 00:01,23.79
2024 FQ3,1,2460402.182936629,2024-Apr-01 16:23,0.00481698098156814,0.00480646236216702,0.00482749946474339,19.2657047654048,19.2369720615412,< 00:01,27.35
2024 GD3,3,2460402.826045724,2024-Apr-02 07:50,0.0157801914946575,0.015482145894243,0.0160782102463889,12.009485046317,11.9954171181172,00:11,26.09
2024 GP2,3,2460403.049783452,2024-Apr-02 13:12,0.0090545585383919,0.00897570357307115,0.00913340964018592,13.9430450306644,13.9219239318686,00:10,26.32
2024 GR,7,2460403.092698378,2024-Apr-02 14:13,0.022791478373092,0.0227129269487531,0.022870012240379,2.6765918322788,2.63255202982576,00:02,27.75
